== IMPROVED >=3 (baseline 8/4-8/9 -> 8/10-8/11) ==
  pictory ai reviews: imp 1->1, pos 99.0 -> 81.0 (gain 18.0)
  pictory ai review: imp 1->1, pos 100.0 -> 86.0 (gain 14.0)
  gearlaunch: imp 1->3, pos 39.0 -> 31.3 (gain 7.7)
  mockey: imp 6->2, pos 47.3 -> 41.0 (gain 6.3)
  dallle: imp 1->1, pos 98.0 -> 92.0 (gain 6.0)
  pixlr ai: imp 5->1, pos 44.6 -> 39.0 (gain 5.6)
  magicdrop legit: imp 5->1, pos 62.2 -> 57.0 (gain 5.2)
  omnisend reviews: imp 2->1, pos 89.5 -> 85.0 (gain 4.5)
  printify alternatives: imp 8->4, pos 83.0 -> 78.8 (gain 4.2)
  ai copy writing: imp 3->2, pos 83.7 -> 79.5 (gain 4.2)
  photoroom app reviews: imp 1->1, pos 68.0 -> 64.0 (gain 4.0)
  printful or printify: imp 2->2, pos 74.5 -> 70.5 (gain 4.0)
  jasper writing assistant: imp 1->1, pos 84.0 -> 80.0 (gain 4.0)
  ai copywriting: imp 2->1, pos 89.5 -> 86.0 (gain 3.5)
  printify vs printful: imp 13->5, pos 84.5 -> 81.0 (gain 3.5)
  lumen5 pricing: imp 1->1, pos 78.0 -> 75.0 (gain 3.0)
  predis.ai review: imp 1->1, pos 71.0 -> 68.0 (gain 3.0)
  total: 17

== DECLINED >=5 ==
  b12 website builder is b12io worth it: imp 1->1, pos 56.0 -> 61.0 (drop 5.0)
  gelato pod: imp 3->1, pos 28.3 -> 34.0 (drop 5.7)
  jasper ai writer: imp 2->1, pos 65.0 -> 71.0 (drop 6.0)
  alternatives to printful: imp 6->2, pos 69.3 -> 77.0 (drop 7.7)
  copy ai review: imp 3->7, pos 73.3 -> 83.1 (drop 9.8)
  copymatic review: imp 2->2, pos 55.0 -> 70.5 (drop 15.5)
  is society6 worth it: imp 1->1, pos 32.0 -> 48.0 (drop 16.0)
  gem pages: imp 1->1, pos 36.0 -> 54.0 (drop 18.0)
  gempages: imp 1->1, pos 39.0 -> 58.0 (drop 19.0)
  total: 9

== KITTL/PRINTFUL/PRINTIFY related ==
  ai shirt design generator: base=imp=1 pos=97.0 | new=N/A
  ai t shirt design generator: base=imp=1 pos=99.0 | new=imp=1 pos=100.0
  alternative to printful for fine art printing: base=imp=1 pos=87.0 | new=N/A
  alternatives to printful: base=imp=6 pos=69.3 | new=imp=2 pos=77.0
  alternatives to printify: base=imp=6 pos=79.7 | new=imp=3 pos=80.7
  best print providers on printify: base=imp=1 pos=78.0 | new=N/A
  best printful alternative for etsy sellers: base=imp=1 pos=68.0 | new=N/A
  best printful alternatives: base=N/A | new=imp=1 pos=71.0
  best printify alternatives: base=imp=2 pos=80.5 | new=N/A
  canva vs kittl: base=imp=4 pos=70.0 | new=imp=1 pos=72.0
  companies like printful: base=imp=2 pos=74.0 | new=imp=1 pos=76.0
  creativehub vs printful: base=imp=2 pos=80.5 | new=N/A
  creatsy vs placeit: base=imp=2 pos=77.0 | new=N/A
  descubra o poder do gerador de texto e imagens por ai do renildomarcioai. obtenha resultados de qualidade profissional em questão de segundos. experimente agora mesmo: base=imp=1 pos=63.0 | new=N/A
  gelato app review: base=N/A | new=imp=1 pos=51.0
  gelato pod: base=imp=3 pos=28.3 | new=imp=1 pos=34.0
  gelato pod review: base=imp=2 pos=57.0 | new=imp=2 pos=60.0
  gelato print on demand review: base=N/A | new=imp=1 pos=54.0
  gelato print on demand reviews: base=imp=1 pos=56.0 | new=N/A
  gelato review: base=imp=2 pos=54.5 | new=imp=2 pos=58.0
  gelato reviews: base=imp=4 pos=45.5 | new=N/A
  gelato trustpilot: base=imp=1 pos=27.0 | new=N/A
  gelato vs printify: base=imp=1 pos=74.0 | new=N/A
  gooten vs printful: base=N/A | new=imp=1 pos=76.0
  is gelato worth it: base=N/A | new=imp=1 pos=26.0
  is kittl better than canva: base=imp=1 pos=75.0 | new=N/A
  is kittl legit: base=N/A | new=imp=1 pos=67.0
  is kittl worth it: base=imp=1 pos=73.0 | new=N/A
  is printful better than printify: base=N/A | new=imp=1 pos=91.0
  is printful or printify better: base=imp=1 pos=92.0 | new=N/A
  is printify better than printful: base=N/A | new=imp=1 pos=92.0
  is printify or printful better: base=N/A | new=imp=1 pos=91.0
  is society6 good quality: base=N/A | new=imp=1 pos=67.0
  is society6 legit: base=imp=1 pos=54.0 | new=N/A
