国家/地区,点击次数,展示,点击率,排名
美国,1,1025,0.1%,72.37
英国,1,114,0.88%,70.07
乌克兰,1,24,4.17%,37.5
越南,0,66,0%,39.27
印度,0,64,0%,45.25
泰国,0,59,0%,38.12
菲律宾,0,52,0%,39.27
澳大利亚,0,50,0%,73.22
俄罗斯,0,46,0%,38.11
加拿大,0,41,0%,68.12
印度尼西亚,0,35,0%,35.37
墨西哥,0,31,0%,39.06
马来西亚,0,30,0%,37.47
孟加拉,0,28,0%,37.07
巴基斯坦,0,25,0%,40.24
约旦,0,24,0%,34.38
摩洛哥,0,24,0%,37.42
德国,0,24,0%,65.33
瑞典,0,24,0%,70.83
西班牙,0,23,0%,47.83
土耳其,0,21,0%,41.33
沙特阿拉伯,0,19,0%,36.58
荷兰,0,18,0%,80.44
法国,0,17,0%,63.18
意大利,0,15,0%,44.4
巴西,0,12,0%,10.58
阿尔及利亚,0,11,0%,38.27
阿拉伯联合酋长国,0,8,0%,29
伊拉克,0,8,0%,36.12
以色列,0,8,0%,51.5
新西兰,0,8,0%,61.25
肯尼亚,0,4,0%,55
芬兰,0,4,0%,55.5
瑞士,0,4,0%,60.75
柬埔寨,0,4,0%,73.75
南非,0,3,0%,21.33
尼日利亚,0,3,0%,35.67
爱尔兰,0,3,0%,58
哥伦比亚,0,3,0%,58.33
立陶宛,0,3,0%,60.67
奥地利,0,3,0%,62
蒙古,0,3,0%,62.67
突尼斯,0,3,0%,66.33
斯里兰卡,0,3,0%,77.33
爱沙尼亚,0,3,0%,79.67
斯洛伐克,0,3,0%,83
波兰,0,2,0%,1.5
厄瓜多尔,0,2,0%,4.5
埃及,0,2,0%,7
危地马拉,0,2,0%,8
阿根廷,0,2,0%,8.5
波多黎各,0,2,0%,12.5
韩国,0,2,0%,33.5
希腊,0,2,0%,37
牙买加,0,2,0%,37.5
巴拿马,0,2,0%,53
比利时,0,2,0%,60
吉尔吉斯斯坦,0,1,0%,8
哥斯达黎加,0,1,0%,9
卢森堡,0,1,0%,9
新加坡,0,1,0%,9
中国,0,1,0%,11
捷克,0,1,0%,11
刚果 - 金沙萨,0,1,0%,12
保加利亚,0,1,0%,41
台湾,0,1,0%,46
中国香港,0,1,0%,49
委内瑞拉,0,1,0%,51
玻利维亚,0,1,0%,60
马达加斯加,0,1,0%,60
匈牙利,0,1,0%,64
阿塞拜疆,0,1,0%,65
缅甸,0,1,0%,69
尼泊尔,0,1,0%,75
卡塔尔,0,1,0%,81
拉脱维亚,0,1,0%,82
