日期,点击次数,展示,点击率,排名
2026-07-09,0,4,0%,65
2026-07-10,0,4,0%,44.2
2026-07-11,0,5,0%,53.6
2026-07-12,0,10,0%,37.5
2026-07-13,0,12,0%,52.3
2026-07-14,0,5,0%,64.6
2026-07-15,0,5,0%,54.2
2026-07-16,0,4,0%,55.8
2026-07-17,0,4,0%,41
2026-07-18,0,26,0%,69.8
2026-07-19,0,23,0%,59.4
2026-07-20,0,24,0%,59.3
2026-07-21,0,22,0%,64.9
2026-07-22,0,22,0%,62.5
2026-07-23,0,19,0%,64.7
2026-07-24,1,28,3.57%,58
2026-07-25,0,21,0%,57.6
2026-07-26,0,29,0%,57.3
2026-07-27,0,30,0%,62.3
2026-07-28,0,51,0%,56.2
2026-07-29,0,131,0%,58.9
2026-07-30,0,240,0%,58.9
2026-07-31,0,228,0%,63.7
2026-08-01,0,241,0%,61.6
2026-08-02,0,226,0%,62.1
2026-08-03,1,223,0.45%,59.4
2026-08-04,0,152,0%,59.6
2026-08-05,0,230,0%,63.2
